cod_distrito,cod_concelho,nome_concelho,casos,dia
9,11,Sabugal,,24-03-2020
14,15,Salvaterra de Magos,,24-03-2020
18,14,Santa Comba Dão,,24-03-2020
31,8,Santa Cruz,,24-03-2020
44,1,Santa Cruz da Graciosa,,24-03-2020
48,2,Santa Cruz das Flores,,24-03-2020
1,9,Santa Maria da Feira,33,24-03-2020
17,11,Santa Marta de Penaguião,,24-03-2020
31,9,Santana,,24-03-2020
14,16,Santarém,9,24-03-2020
15,9,Santiago do Cacém,,24-03-2020
13,14,Santo Tirso,7,24-03-2020
14,17,Sardoal,,24-03-2020
9,12,Seia,,24-03-2020
15,10,Seixal,21,24-03-2020
18,18,Sernancelhe,,24-03-2020
2,13,Serpa,,24-03-2020
5,9,Sertã,,24-03-2020
15,11,Sesimbra,4,24-03-2020
15,12,Setúbal,7,24-03-2020
1,17,Sever do Vouga,,24-03-2020
8,13,Silves,3,24-03-2020
15,13,Sines,,24-03-2020
11,11,Sintra,39,24-03-2020
11,12,Sobral de Monte Agraço,,24-03-2020
6,15,Soure,3,24-03-2020
12,15,Sousel,,24-03-2020
18,17,Sátão,,24-03-2020
8,12,São Brás de Alportel,,24-03-2020
1,16,São João da Madeira,,24-03-2020
18,15,São João da Pesqueira,,24-03-2020
18,16,São Pedro do Sul,,24-03-2020
46,3,São Roque do Pico,,24-03-2020
31,10,São Vicente,,24-03-2020
18,19,Tabuaço,,24-03-2020
18,20,Tarouca,,24-03-2020
8,14,Tavira,,24-03-2020
3,10,Terras de Bouro,,24-03-2020
14,18,Tomar,,24-03-2020
18,21,Tondela,,24-03-2020
4,9,Torre de Moncorvo,,24-03-2020
14,19,Torres Novas,,24-03-2020
11,13,Torres Vedras,,24-03-2020
9,13,Trancoso,,24-03-2020
13,18,Trofa,,24-03-2020
6,16,Tábua,,24-03-2020
1,18,Vagos,,24-03-2020
1,19,Vale de Cambra,3,24-03-2020
16,8,Valença,,24-03-2020
13,15,Valongo,65,24-03-2020
17,12,Valpaços,,24-03-2020
45,2,Velas,,24-03-2020
7,12,Vendas Novas,,24-03-2020
7,13,Viana do Alentejo,,24-03-2020
16,9,Viana do Castelo,7,24-03-2020
2,14,Vidigueira,,24-03-2020
3,11,Vieira do Minho,,24-03-2020
4,10,Vila Flor,,24-03-2020
11,14,Vila Franca de Xira,5,24-03-2020
42,6,Vila Franca do Campo,,24-03-2020
14,20,Vila Nova da Barquinha,,24-03-2020
16,10,Vila Nova de Cerveira,,24-03-2020
3,12,Vila Nova de Famalicão,12,24-03-2020
9,14,Vila Nova de Foz Côa,,24-03-2020
13,17,Vila Nova de Gaia,68,24-03-2020
18,22,Vila Nova de Paiva,,24-03-2020
6,17,Vila Nova de Poiares,,24-03-2020
17,13,Vila Pouca de Aguiar,,24-03-2020
17,14,Vila Real,4,24-03-2020
8,16,Vila Real de Santo António,,24-03-2020
5,11,Vila Velha de Ródão,,24-03-2020
3,13,Vila Verde,,24-03-2020
7,14,Vila Viçosa,,24-03-2020
5,10,Vila de Rei,,24-03-2020
8,15,Vila do Bispo,,24-03-2020
13,16,Vila do Conde,8,24-03-2020
41,1,Vila do Porto,,24-03-2020
4,11,Vimioso,,24-03-2020
4,12,Vinhais,,24-03-2020
18,23,Viseu,6,24-03-2020
3,14,Vizela,,24-03-2020
18,24,Vouzela,,24-03-2020
