concelho,casos,dia
Cascais,81,28-03-2020
Aveiro,62,28-03-2020
Seixal,59,28-03-2020
Loures,57,28-03-2020
Almada,53,28-03-2020
Guimarães*,51,28-03-2020
Vila Nova de Famalicão*,48,28-03-2020
Oeiras,47,28-03-2020
Odivelas,46,28-03-2020
Oliveira de Azeméis,46,28-03-2020
Amadora,41,28-03-2020
Lousada*,38,28-03-2020
Resende,32,28-03-2020
Albergaria-a-Velha,28,28-03-2020
Faro,26,28-03-2020
Felgueiras*,26,28-03-2020
Bragança,25,28-03-2020
Mafra*,24,28-03-2020
Santo Tirso,24,28-03-2020
Viana do Castelo,24,28-03-2020
Vila do Conde,22,28-03-2020
Paços de Ferreira*,22,28-03-2020
Albufeira*,22,28-03-2020
Paredes,21,28-03-2020
Viseu,21,28-03-2020
Santarém,20,28-03-2020
Barcelos,20,28-03-2020
Espinho,18,28-03-2020
Barreiro*,18,28-03-2020
Portimão,17,28-03-2020
Funchal,16,28-03-2020
Vila Franca de Xira*,16,28-03-2020
Estarreja,15,28-03-2020
Póvoa de Varzim*,15,28-03-2020
Setúbal,15,28-03-2020
Vale de Cambra,15,28-03-2020
Trofa,14,28-03-2020
Águeda,13,28-03-2020
Cartaxo*,13,28-03-2020
Loulé,13,28-03-2020
Penafiel,13,28-03-2020
Pombal*,13,28-03-2020
São João da Madeira,13,28-03-2020
Torres Vedras*,13,28-03-2020
Évora,12,28-03-2020
Ílhavo*,12,28-03-2020
Chaves,10,28-03-2020
Moita,10,28-03-2020
Vila Verde,10,28-03-2020
Marco de Canaveses,9,28-03-2020
Montijo,9,28-03-2020
Amares,8,28-03-2020
Arouca,8,28-03-2020
Caldas da Rainha*,8,28-03-2020
Mirandela,8,28-03-2020
Montemor-o-Velho,8,28-03-2020
Almeirim,7,28-03-2020
Arcos de Valdevez,7,28-03-2020
Cantanhede,7,28-03-2020
Esposende,7,28-03-2020
Leiria*,7,28-03-2020
Marinha Grande,7,28-03-2020
Oliveira de Frades,3,28-03-2020
Oliveira do Bairro,7,28-03-2020
Penacova,3,28-03-2020
Póvoa de Lanhoso,7,28-03-2020
Torre de Moncorvo*,3,28-03-2020
Sesimbra,7,28-03-2020
Soure*,7,28-03-2020
Benavente*,6,28-03-2020
Condeixa-a-Nova,6,28-03-2020
Grândola*,6,28-03-2020
Tomar*,6,28-03-2020
Fafe,5,28-03-2020
Murtosa,5,28-03-2020
Palmela*,5,28-03-2020
Ponte de Lima*,5,28-03-2020
Silves,5,28-03-2020
Vagos,5,28-03-2020
Velas,5,28-03-2020
Vila Real de Santo António,5,28-03-2020
Alvaiázere,4,28-03-2020
Amarante,4,28-03-2020
Anadia,4,28-03-2020
Calheta (Açores),4,28-03-2020
Câmara de Lobos,4,28-03-2020
Coruche,4,28-03-2020
Horta,4,28-03-2020
Macedo de Cavaleiros*,4,28-03-2020
Nelas,4,28-03-2020
Ourém,4,28-03-2020
Vizela,4,28-03-2020
Almeida*,3,28-03-2020
Alcochete,3,28-03-2020
Alpiarça,3,28-03-2020
Caminha,3,28-03-2020
Carrazeda de Ansiães,3,28-03-2020
Figueira da Foz*,3,28-03-2020
Lagoa (Faro),3,28-03-2020
Madalena,3,28-03-2020
Monção,3,28-03-2020
Reguengos de Monsaraz,3,28-03-2020
Torres Novas*,3,28-03-2020
Vila Pouca de Aguiar,3,28-03-2020
Lisboa,505,31-03-2020
Porto,462,31-03-2020
Vila Nova de Gaia,338,31-03-2020
Gondomar,298,31-03-2020
Maia,293,31-03-2020
Matosinhos,273,31-03-2020
Braga,220,31-03-2020
Valongo,210,31-03-2020
Sintra,167,31-03-2020
Ovar,159,31-03-2020
Coimbra,157,31-03-2020
Santa Maria da Feira,148,31-03-2020
Cascais,133,31-03-2020
Vila Real,121,31-03-2020
Vila Nova de Famalicão,93,31-03-2020
Loures,84,31-03-2020
Guimarães,81,31-03-2020
Seixal,71,31-03-2020
Almada,71,31-03-2020
Aveiro,70,31-03-2020
Oeiras,70,31-03-2020
Odivelas,66,31-03-2020
Amadora,62,31-03-2020
Oliveira de Azeméis,59,31-03-2020
Lousada,52,31-03-2020
Bragança,48,31-03-2020
Felgueiras,45,31-03-2020
Santo Tirso,43,31-03-2020
Paredes,42,31-03-2020
Paços de Ferreira,40,31-03-2020
Barcelos,39,31-03-2020
Barreiro,37,31-03-2020
Resende,35,31-03-2020
Vila do Conde,34,31-03-2020
Mafra,34,31-03-2020
Viana do Castelo,33,31-03-2020
Albergaria-a-Velha,31,31-03-2020
Trofa,31,31-03-2020
Penafiel,31,31-03-2020
Albufeira,30,31-03-2020
Santarém,27,31-03-2020
Faro,26,31-03-2020
São João da Madeira,25,31-03-2020
Carrazeda de Ansiães,3,31-03-2020
Espinho,25,31-03-2020
Vila Verde,25,31-03-2020
Setúbal,25,31-03-2020
Loulé,23,31-03-2020
Vale de Cambra,22,31-03-2020
Moita,22,31-03-2020
Vila Franca de Xira,22,31-03-2020
Pombal,21,31-03-2020
Portimão,21,31-03-2020
Estarreja,20,31-03-2020
Condeixa-a-Nova,19,31-03-2020
Viseu,19,31-03-2020
Funchal,18,31-03-2020
Marco de Canaveses,17,31-03-2020
Évora,15,31-03-2020
Póvoa de Varzim,15,31-03-2020
Póvoa de Lanhoso,14,31-03-2020
Águeda,14,31-03-2020
Montijo,14,31-03-2020
Vila da Praia da Vitória,5,31-03-2020
Torres Vedras,13,31-03-2020
Arouca,12,31-03-2020
Montemor-o-Velho,12,31-03-2020
Amares,11,31-03-2020
Mirandela,11,31-03-2020
Cantanhede,11,31-03-2020
Palmela,11,31-03-2020
Esposende,10,31-03-2020
Chaves,10,31-03-2020
Sesimbra,10,31-03-2020
Vila Real de Santo António,9,31-03-2020
Arcos de Valdevez,9,31-03-2020
Cartaxo,9,31-03-2020
Oliveira do Bairro,9,31-03-2020
Almeirim,8,31-03-2020
Vizela,8,31-03-2020
Amarante,8,31-03-2020
Macedo de Cavaleiros,7,31-03-2020
Madalena,3,31-03-2020
Soure,7,31-03-2020
Coruche,7,31-03-2020
Benavente,7,31-03-2020
Marinha Grande,7,31-03-2020
Fafe,7,31-03-2020
Vieira do Minho,3,31-03-2020
Oliveira de Frades,6,31-03-2020
Murtosa,6,31-03-2020
Horta,6,31-03-2020
Santiago do Cacém,6,31-03-2020
Câmara de Lobos,6,31-03-2020
Silves,6,31-03-2020
Leiria,6,31-03-2020
Calheta,5,31-03-2020
Velas,5,31-03-2020
Ponta do Sol,5,31-03-2020
Penacova,5,31-03-2020
Lousã,5,31-03-2020
Monção,5,31-03-2020
Lagoa,3,31-03-2020
Vagos,5,31-03-2020
Lamego,5,31-03-2020
Ourém,5,31-03-2020
Olhão,3,31-03-2020
Alvaiázere,4,31-03-2020
Melgaço,4,31-03-2020
Nelas,4,31-03-2020
Alcochete,4,31-03-2020
Rio Maior,4,31-03-2020
Alenquer,4,31-03-2020
Santa Cruz,4,31-03-2020
São Roque do Pico,3,31-03-2020
Góis,3,31-03-2020
Vimioso,3,31-03-2020
Vila Nova de Poiares,3,31-03-2020
Alpiarça,3,31-03-2020
Reguengos de Monsaraz,3,31-03-2020
Vila Pouca de Aguiar,3,31-03-2020
Miranda do Corvo,3,31-03-2020
Sines,3,31-03-2020
Grândola,3,31-03-2020
Valpaços,3,31-03-2020
São Pedro do Sul,3,31-03-2020
Peso da Régua,3,31-03-2020
Caminha,3,31-03-2020
Cinfães,3,31-03-2020
Mealhada,3,31-03-2020
Tavira,3,31-03-2020
Tomar,3,31-03-2020
Guarda,3,31-03-2020
Figueira da Foz,3,31-03-2020
Lisboa,546,01-04-2020
Porto,505,01-04-2020
Vila Nova de Gaia,387,01-04-2020
Gondomar,337,01-04-2020
Maia,328,01-04-2020
