Âmbito Geográfico,Anos,1981,2020
Município,Arronches, 4 307, 2 762
Município,Avis, 5 865, 4 194
Município,Campo Maior, 8 546, 7 792
Município,Castelo de Vide, 4 174, 2 889
Município,Crato, 5 641, 3 058
Município,Elvas, 25 088, 20 289
Município,Fronteira, 4 448, 2 933
Município,Gavião, 6 824, 3 183
Município,Marvão, 5 421, 2 938
Município,Monforte, 4 250, 2 948
Município,Nisa, 10 677, 5 959
Município,Ponte de Sor, 18 113, 14 845
Município,Portalegre, 27 385, 21 917
Município,Sousel, 7 268, 4 328
NUTS III,Alentejo Central, 180 685, 150 949
Município,Alandroal, 8 118, 4 894
Município,Arraiolos, 8 883, 6 869
Município,Borba, 8 840, 6 668
Município,Estremoz, 18 050, 12 601
Município,Évora, 51 869, 52 162
Município,Montemor-o-Novo, 20 248, 15 441
Município,Mora, 7 060, 4 036
Município,Mourão, 3 496, 2 433
Município,Portel, 8 320, 5 775
Município,Redondo, 8 428, 6 284
Município,Reguengos de Monsaraz, 11 633, 9 928
Município,Vendas Novas, 10 941, 11 186
Município,Viana do Alentejo, 6 207, 5 107
Município,Vila Viçosa, 8 592, 7 565
NUTS II,Algarve, 324 078, 437 970
NUTS III,Algarve, 324 078, 437 970
Município,Albufeira, 17 255, 41 921
Município,Alcoutim, 5 233, 2 077
Município,Aljezur, 5 062, 5 598
Município,Castro Marim, 7 285, 6 198
Município,Faro, 45 471, 61 039
Município,Lagoa, 15 673, 22 743
Município,Lagos, 19 739, 30 268
Município,Loulé, 44 065, 68 686
Município,Monchique, 9 601, 4 979
Município,Olhão, 34 649, 44 178
Município,Portimão, 34 587, 55 599
Município,São Brás de Alportel, 7 484, 10 372
Município,Silves, 31 307, 36 232
Município,Tavira, 24 572, 24 294
Município,Vila do Bispo, 5 688, 5 147
Município,Vila Real de Santo António, 16 407, 18 639
NUTS I,Região Autónoma dos Açores, 245 184, 242 201
NUTS II,Região Autónoma dos Açores, 245 184, 242 201
NUTS III,Ilha de Santa Maria, 6 546, 5 612
Município,Vila do Porto, 6 546, 5 612
NUTS III,Ilha de São Miguel, 133 287, 137 133
Município,Lagoa [R.A.A.], 12 978, 14 750
Município,Nordeste, 6 850, 4 819
Município,Ponta Delgada, 64 441, 67 861
Município,Povoação, 8 534, 5 896
Município,Ribeira Grande, 28 487, 32 823
Município,Vila Franca do Campo, 11 997, 10 984
NUTS III,Ilha Terceira, 53 846, 54 874
Município,Angra do Heroísmo, 32 977, 33 645
Município,Vila da Praia da Vitória, 20 869, 21 229
NUTS III,Ilha Graciosa, 5 378, 4 179
Município,Santa Cruz da Graciosa, 5 378, 4 179
NUTS III,Ilha de São Jorge, 10 366, 8 228
Município,Calheta [R.A.A.], 4 451, 3 159
Município,Velas, 5 915, 5 069
NUTS III,Ilha do Pico, 15 504, 13 635
Município,Lajes do Pico, 5 831, 4 473
Município,Madalena, 5 992, 5 885
Município,São Roque do Pico, 3 681, 3 277
NUTS III,Ilha do Faial, 15 525, 14 443
Município,Horta, 15 525, 14 443
NUTS III,Ilha das Flores, 4 358, 3 627
Município,Lajes das Flores, 1 879, 1 462
Município,Santa Cruz das Flores, 2 479, 2 165
NUTS III,Ilha do Corvo, 374, 470
Município,Corvo, 374, 470
NUTS I,Região Autónoma da Madeira, 254 473, 253 923
NUTS II,Região Autónoma da Madeira, 254 473, 253 923
NUTS III,Ilha da Madeira, 250 060, 248 726
Município,Calheta [R.A.M.], 12 939, 10 833
Município,Câmara de Lobos, 31 483, 33 639
Município,Funchal, 113 500, 103 754
Município,Machico, 22 288, 19 870
Município,Ponta do Sol, 9 167, 8 554
Município,Porto Moniz, 3 962, 2 312
Município,Ribeira Brava, 13 548, 12 356
Município,Santa Cruz, 23 331, 45 647
Município,Santana, 11 306, 6 648
Município,São Vicente, 8 536, 5 113
NUTS III,Ilha de Porto Santo, 4 413, 5 197
Município,Porto Santo, 4 413, 5 197
