data,rt_nacional,rt_95_inferior_nacional,rt_95_superior_nacional,rt_continente,rt_95_inferior_continente,rt_95_superior_continente,rt_arsnorte,rt_95_inferior_arsnorte,rt_95_superior_arsnorte,rt_arscentro,rt_95_inferior_arscentro,rt_95_superior_arscentro,rt_arslvt,rt_95_inferior_arslvt,rt_95_superior_arslvt,rt_arsalentejo,rt_95_inferior_arsalentejo,rt_95_superior_arsalentejo,rt_arsalgarve,rt_95_inferior_arsalgarve,rt_95_superior_arsalgarve,rt_açores,rt_95_inferior_açores,rt_95_superior_açores,rt_madeira,rt_95_inferior_madeira,rt_95_superior_madeira
2021-05-18,1.07400459127833,1.03531193955095,1.11236298747983,1.07541969583187,1.03566244054892,1.11585733847304,0.998397745926877,0.938830076636913,1.05897234489141,1.07700533638791,0.960547300893545,1.19716356098697,1.19532867607593,1.12696560426924,1.26747713233724,0.980841168156716,0.799173472830217,1.17439755863832,0.856601669906501,0.711461878906641,1.01352691589868,1.10385049354601,0.935529856018671,1.28661512942513,1.04798488868774,0.874046574469491,1.22945573483934
2021-05-19,1.07765003005579,1.04071148447708,1.11630311045406,1.07826297273589,1.03901845037667,1.11926864465894,1.00352355038682,0.944893490052973,1.06502130857887,1.02003352962621,0.910035355818375,1.13217586795183,1.17667076205469,1.11138520649569,1.24650965335644,1.14318360695769,0.951722009300109,1.35628606851011,0.954833608902192,0.804033915626005,1.12332181135682,1.106131496203,0.940135918388179,1.2846359234115,1.06036379809741,0.892253482880356,1.24329110528796
2021-05-20,1.08904177134049,1.05187773821621,1.12602050978212,1.09519221711279,1.05662044941147,1.13619119337422,1.02371327038912,0.964486975238268,1.08618665743127,1.07964221078852,0.966009340789062,1.19734668989131,1.18688404635719,1.12383199559928,1.2536338255566,1.07513059884346,0.884306910449176,1.27752463770123,0.928270299131853,0.781229882968592,1.09441483974677,1.12201792609719,0.949456970436523,1.3023643666357,0.978368361739177,0.823662287531121,1.15004178192477
2021-05-21,1.06684140031976,1.03033425549682,1.10376022261446,1.06990751360384,1.03134250682077,1.10916507689663,1.00849568741575,0.949714928593143,1.07027959924555,1.0481257376345,0.935914964500635,1.16662589868931,1.14463932593275,1.08458507625385,1.20661815903729,1.11378442156132,0.923214677812655,1.31922990933814,0.925552474356327,0.774723625163186,1.08476145376266,1.14587465177913,0.981464164680132,1.32529014605753,0.938997818911604,0.78272764118308,1.11608084018869
2021-05-22,1.05369512787847,1.01688933616455,1.09074919888659,1.05449013527433,1.01615015565862,1.09253456855404,0.991022875977191,0.930788990786397,1.04981512804211,1.03333333620749,0.923728087396134,1.14934419325009,1.11845139359075,1.05772283342436,1.18042802608745,1.10114061453399,0.919143473956387,1.30450869632142,0.979899599777184,0.826635217137241,1.15195269628033,1.18186564763815,1.01682709886647,1.36496527097312,0.918043789998484,0.759262368235593,1.09521595834066
2021-05-23,1.04944340160117,1.01423691115123,1.08534748334309,1.04968629285799,1.01329707417353,1.08788792666424,0.992509379321811,0.934836546776653,1.05327973457558,1.05139298591597,0.943464873510041,1.16471186824726,1.10484988567425,1.04883680600863,1.16337226587827,1.10548408388503,0.924997591160598,1.30004191877748,0.94579634768011,0.793341075240453,1.11253302352773,1.14890987427162,0.984422045746109,1.32335416880071,0.962030148738192,0.79704010658765,1.14144705192506
2021-05-24,1.06109930863834,1.02542932695159,1.09742107461887,1.0637256159806,1.02603471290659,1.10139483720553,1.00330053366554,0.94511222992767,1.06272679997508,1.02689866127926,0.919037838604389,1.13951105332867,1.11841570216248,1.06044101728293,1.17721725931106,1.14923475639632,0.96494693728923,1.34456655581403,1.02238616645933,0.859446236885477,1.20253867588289,1.12205357583925,0.966656876839232,1.2887812310649,0.964740033611886,0.797860596273288,1.14527215508972
2021-05-25,1.06386335616109,1.02957444863453,1.09888382487781,1.07030828906799,1.03413462699012,1.10769462405393,0.969274101171885,0.911630400793165,1.02834560985221,1.02062347316011,0.914631338203957,1.13211249497059,1.16525495533242,1.1087704603388,1.22190948513883,1.15171014546507,0.971414234056132,1.34508038093836,0.947140022342203,0.788128448765037,1.11954637831225,1.11981046277598,0.967453673356626,1.28424855532027,0.874161432372883,0.715486648461168,1.05047800676357
2021-05-26,1.04827860126002,1.01339989916006,1.08378850322767,1.05445517902794,1.01915361145561,1.09177405365381,0.964830140323753,0.907028195252413,1.02626462051579,1.0382324333015,0.929404636940801,1.15422419718342,1.14570937628704,1.08618901875065,1.20250891568543,0.929371082329384,0.773141611461018,1.0988511634105,0.962142454429138,0.808747983345771,1.132331142931,1.09370566003331,0.942537424517615,1.2544841954107,0.869293633530161,0.702648639419765,1.05295038852763
2021-05-27,1.06832860621128,1.03473966716404,1.10452504311846,1.07825228601681,1.04293185068321,1.11466074963006,1.00814581735913,0.948927182461539,1.06927233953955,1.00120729156563,0.894765671565412,1.11288440551766,1.15961550667173,1.10550149009447,1.21534749599397,0.912724237409174,0.755988580918183,1.08951752218251,1.06349641989636,0.898362580152091,1.23754018917082,1.055792500014,0.910711127765201,1.20909318070392,0.870081181217142,0.708220809847914,1.05582605268731
2021-05-28,1.08299881067572,1.04812593620411,1.11757496487333,1.09296619944405,1.05505141719753,1.13088978701014,1.02787453158956,0.967007613855381,1.089497080985,1.0259223586571,0.917651217255061,1.14224566510691,1.170809716598,1.11497258193345,1.22730841221936,0.861021836357078,0.706165560990801,1.0339995290655,1.09377245380531,0.931868806575437,1.27112149030118,1.05271926317427,0.904903522538772,1.20481427651062,0.886804591307419,0.713380429743645,1.07864702631051
2021-05-29,1.07652760498537,1.04298835359189,1.11254675572491,1.08876970985348,1.05255495874756,1.12590682160189,1.04009023364329,0.98067234625135,1.10193125105661,0.968176359923157,0.86433380099932,1.07721535404062,1.16433582335466,1.11106940867571,1.21954205029248,0.90608147038414,0.74128007683109,1.0943731429101,1.03006931777353,0.875089586983525,1.20102385480583,1.03385509230552,0.891215440118422,1.18505025342205,0.837242375748121,0.662038383354171,1.02329887094093
2021-05-30,1.07466788282122,1.04067700713483,1.10949957220293,1.08962496547043,1.0538518721237,1.12567739034249,1.03232189021865,0.972450141248433,1.09192415744984,1.01840801576888,0.910645377397331,1.1306253820143,1.15144597013139,1.09840967785922,1.20637703441782,0.924337713319903,0.753267365878005,1.11752624150207,1.07957741391819,0.916864391654449,1.25440861158289,1.00151307677163,0.86453461594932,1.14746005040134,0.755271249899023,0.592112374924009,0.935507818888853
2021-05-31,1.0554495498109,1.02218663429062,1.08913562915945,1.06948337036617,1.03435510872048,1.10444233347394,1.00129939399769,0.940658517711568,1.0619467201178,0.987966796664573,0.886055177385468,1.09825781603264,1.13802568212405,1.08733803685308,1.19058709315191,0.916027160873284,0.747611435157522,1.1015184652697,1.04321449361476,0.884125677825055,1.215752825689,0.982213198142429,0.837674241504875,1.12920087712347,0.72490731515432,0.562334976532332,0.914571434854774
2021-06-01,1.05635942259365,1.02364604577462,1.09025247872767,1.07103195502922,1.03652112705383,1.10593456172653,1.00528979362067,0.946424361942995,1.0656505939007,1.02414724044799,0.916828553502376,1.13913904428724,1.13104699761224,1.08150190824034,1.18190305274719,0.927575845567821,0.752041273404172,1.11016494971346,1.04476272236123,0.888903138216968,1.21232223877205,0.978465162985007,0.839386268705291,1.12843166607689,0.667120701071984,0.501556323708305,0.857604338751813
2021-06-02,1.04947250761681,1.01696248232519,1.0829077834913,1.06218305847887,1.02849252965384,1.09722721951267,0.987515330169415,0.930452559037224,1.04773070042885,1.01727198984905,0.911774313767331,1.13102894656296,1.11364798948887,1.06378409854725,1.16317336912019,1.05285421125284,0.869970390074624,1.25646644530245,1.06780537798905,0.903755527128919,1.24070680634546,0.967380507283587,0.830878264076599,1.11517301106005,0.698250179551926,0.518212592881061,0.894205523528623
2021-06-03,1.04417047554171,1.01105860896426,1.07707544189888,1.05495405381213,1.02083747361091,1.08906515419238,0.952197531566638,0.896182370258938,1.01019924205633,1.03299801528263,0.923869156442863,1.14971223715144,1.11356544750067,1.06625309134468,1.16308233898554,1.08365930287555,0.892245874805715,1.2926659945201,1.06958971448415,0.914277759683593,1.23752468942325,0.968404609475108,0.82657032970884,1.11778691122876,0.699699436467831,0.508127014190159,0.912670114631782
