data,concelho,confirmados_14,confirmados_1,incidencia,incidencia_categoria,incidencia_risco,distrito,dicofre,area,population,population_65_69,population_70_74,population_75_79,population_80_84,population_85_mais,population_80_mais,population_75_mais,population_70_mais,population_65_mais,densidade_populacional,densidade_1,densidade_2,densidade_3
11-11-2020,CHAMUSCA,25,2,272.0,"Acima de 240,0 ",Muito elevada,SANTARÉM,1407,74600.54,9197,629,583,553,465,579,1044,1597,2180,2809,12.33,3.77,2.92,2.14
11-11-2020,CHAVES,195,14,496.0,"Acima de 240,0 ",Muito elevada,VILA REAL,1703,59122.95,39343,2676,2429,1991,1886,1918,3804,5795,8224,10900,66.54,18.44,13.91,9.8
11-11-2020,CINFÃES,237,17,1299.0,"Acima de 240,0 ",Muito elevada,VISEU,1804,23928.76,18244,1067,902,779,734,758,1492,2271,3173,4240,76.24,17.72,13.26,9.49
11-11-2020,COIMBRA,508,36,379.0,"Acima de 240,0 ",Muito elevada,COIMBRA,0603,31939.94,134166,9489,8734,6353,5139,5074,10213,16566,25300,34789,420.06,108.92,79.21,51.87
11-11-2020,CONDEIXA-A-NOVA,58,4,327.0,"Acima de 240,0 ",Muito elevada,COIMBRA,0604,13867.47,17733,871,809,717,583,490,1073,1790,2599,3470,127.88,25.02,18.74,12.91
11-11-2020,CONSTÂNCIA,13,1,323.0,"Acima de 240,0 ",Muito elevada,SANTARÉM,1408,8036.58,4030,211,183,187,148,155,303,490,673,884,50.14,11.0,8.37,6.1
11-11-2020,CORUCHE,140,10,801.0,"Acima de 240,0 ",Muito elevada,SANTARÉM,1409,111572.03,17471,1294,1090,1095,1096,1019,2115,3210,4300,5594,15.66,5.01,3.85,2.88
11-11-2020,CORVO,0,0,0.0,"Abaixo de 20,0",Muito baixa,AÇORES,4901,1711.45,464,22,21,11,13,19,32,43,64,86,27.12,5.03,3.74,2.51
11-11-2020,COVILHÃ,192,14,410.0,"Acima de 240,0 ",Muito elevada,CASTELO BRANCO,0503,55560.06,46787,3533,2998,2365,2111,2193,4304,6669,9667,13200,84.21,23.76,17.4,12.0
11-11-2020,CRATO,10,1,320.0,"Acima de 240,0 ",Muito elevada,PORTALEGRE,1206,39806.88,3129,229,258,163,182,228,410,573,831,1060,7.86,2.66,2.09,1.44
11-11-2020,CUBA,16,1,348.0,"Acima de 240,0 ",Muito elevada,BEJA,0207,17208.72,4595,255,233,206,190,143,333,539,772,1027,26.7,5.97,4.49,3.13
